 Zone   x     Tgas  mIL   mOLOA mOLIA dCO   dCI   dLO   dLI    AFR    TwLi    TwLo    TwCi    TwCo    eta    TwLiI   TwLoI   TwCiI   TwCoI   etaI
  -     mm     K    kg/s  kg/s  kg/s   m     m     m     m      -      K       K       K       K       %       K       K       K       K       %  
  4  158.0  1185.5  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1034.1  1032.1   793.0   791.5    0.00  1109.8  1107.9   948.3   945.5    0.00
  4  160.0  1185.5  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1034.1  1032.1   793.0   791.5    0.00  1109.8  1107.9   948.3   945.5    0.00
  4  162.0  1185.5  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1034.1  1032.1   793.0   791.5    0.00  1109.8  1107.9   948.3   945.5    0.00
  4  164.0  1185.5  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1034.1  1032.1   793.0   791.5    0.00  1109.8  1107.9   948.3   945.5    0.00
  4  166.0  1185.5  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1034.1  1032.1   793.0   791.5    0.00  1109.8  1107.9   948.3   945.5    0.00
  4  168.0  1185.5  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1034.1  1032.1   793.0   791.5    0.00  1109.8  1107.9   948.3   945.5    0.00
  4  170.0  1185.5  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1034.1  1032.1   793.0   791.5    0.00  1109.8  1107.9   948.3   945.5    0.00
  4  172.0  1185.5  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1034.1  1032.1   793.0   791.5    0.00  1109.8  1107.9   948.3   945.5    0.00
  4  174.0  1185.5  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1034.1  1032.1   793.0   791.5    0.00  1109.8  1107.9   948.3   945.5    0.00
  4  176.0  1185.5  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1034.1  1032.1   793.0   791.5    0.00  1109.8  1107.9   948.3   945.5    0.00
  4  178.0  1185.5  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1034.1  1032.1   793.0   791.5    0.00  1109.8  1107.9   948.3   945.5    0.00
  4  180.0  1185.5  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1034.1  1032.1   793.0   791.5    0.00  1109.8  1107.9   948.3   945.5    0.00
  4  182.0  1185.5  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1034.1  1032.1   793.0   791.5    0.00  1109.8  1107.9   948.3   945.5    0.00
  4  184.0  1185.5  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1034.1  1032.1   793.0   791.5    0.00  1109.8  1107.9   948.3   945.5    0.00
  4  186.0  1185.5  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1034.1  1032.1   793.0   791.5    0.00  1109.8  1107.9   948.3   945.5    0.00
  4  188.0  1185.5  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1034.1  1032.1   793.0   791.5    0.00  1109.8  1107.9   948.3   945.5    0.00
  4  190.0  1185.5  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1034.1  1032.1   793.0   791.5    0.00  1109.8  1107.9   948.3   945.5    0.00
  4  192.0  1185.5  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1034.1  1032.1   793.0   791.5    0.00  1109.8  1107.9   948.3   945.5    0.00
  4  194.0  1185.5  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1034.1  1032.1   793.0   791.5    0.00  1109.8  1107.9   948.3   945.5    0.00
  4  196.0  1185.5  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1034.1  1032.1   793.0   791.5    0.00  1109.8  1107.9   948.3   945.5    0.00
  4  198.0  1185.5  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1034.1  1032.1   793.0   791.5    0.00  1109.8  1107.9   948.3   945.5    0.00
  4  200.0  1185.5  0.50  0.00  0.03  0.25  0.05  0.20  0.10  50.0  1034.1  1032.1   793.0   791.5    0.00  1109.8  1107.9   948.3   945.5    0.00
